price,validity,data,daily,total_data,data_per_day,price_per_day
1559,336,24.0,False,24.0,0.07,4.64
395,84,6.0,False,6.0,0.07,4.7
155,28,2.0,False,2.0,0.07,5.54
149,20,1.0,True,20.0,1.0,7.45
179,24,1.0,True,24.0,1.0,7.46
209,28,1.0,True,28.0,1.0,7.46
2545,336,1.5,True,504.0,1.5,7.57
2879,365,2.0,True,730.0,2.0,7.89
666,84,1.5,True,126.0,1.5,7.93
666,84,1.5,True,126.0,1.5,7.93
2999,365,2.5,True,912.5,2.5,8.22
119,14,1.5,True,21.0,1.5,8.5
239,28,1.5,True,42.0,1.5,8.54
3119,365,2.0,True,740.0,2.03,8.55
479,56,1.5,True,84.0,1.5,8.55
719,84,2.0,True,168.0,2.0,8.56
719,84,2.0,True,168.0,2.0,8.56
199,23,1.5,True,34.5,1.5,8.65
533,56,2.0,True,112.0,2.0,9.52
296,30,25.0,False,25.0,0.83,9.87
299,28,2.0,True,56.0,2.0,10.68
299,28,2.0,True,56.0,2.0,10.68
249,23,2.0,True,46.0,2.0,10.83
4199,365,3.0,True,1095.0,3.0,11.5
1066,84,2.0,True,173.0,2.06,12.69
799,56,2.0,True,112.0,2.0,14.27
1199,84,3.0,True,252.0,3.0,14.27
419,28,3.0,True,84.0,3.0,14.96
499,28,2.0,True,56.0,2.0,17.82
601,28,3.0,True,90.0,3.21,21.46
